Name,Date,Period,School,Sport
"Barnes, Joseph ",2018-2019,Nov 2018 - Oct 2020 ,Seattle University ,Men's Tennis 
"Barnes, Joseph ",2018-2019,Nov 2018 - Oct 2020 ,Seattle University ,Women's Tennis 
"Barnes, Rick ",2018-2019,Jun 2015 -  ,"University of Tennessee, Knoxville ",Men's Basketball 
"Barnes, Rod ",2018-2019,May 2011 -  ,"California State University, Bakersfield ",Men's Basketball 
"Barnes, Sarah ",2018-2019,Mar 2018 -  ,University of Miami (Florida) ,Women's Soccer 
"Barnett, Brett ",2018-2019,Feb 2015 -  ,University of South Dakota ,Women's Tennis 
"Barnett, Brian ",2018-2019,Sep 2016 -  ,Indiana University-Purdue University Indianapolis ,Men's Soccer 
"Barnett, Keith ",2018-2019,Jan 2019 -  ,U.S. Air Force Academy ,Women's Volleyball 
"Barnum, Bruce ",2018-2019,Feb 2015 -  ,Portland State University ,Football 
"Barrera, Tim ",2018-2019,Sep 1999 -  ,University of Northern Colorado ,Women's Soccer 
"Barrett, David ",2018-2019,Mar 2018 -  ,Fairfield University ,Women's Soccer 
"Barrett, Drew ",2018-2019,Aug 2005 -  ,Davidson College ,Men's Tennis 
"Barrick, Houston ",2018-2019,Sep 2017 -  ,University of Richmond ,Men's Tennis 
"Barron, Richard ",2018-2019,Apr 2018 -  ,University of Maine ,Men's Basketball 
"Barroqueiro, Michael ",2018-2019,Feb 2017 -  ,University of Delaware ,Women's Soccer 
"Barroso, Joe ",2018-2019,Aug 2005 -  ,Sacred Heart University ,Men's Soccer 
"Barrow, Hillary ",2018-2019,Sep 2018 -  ,Quinnipiac University ,Softball 
"Barry, Jason ",2018-2019,Oct 2013 -  ,Rider University ,Men's Golf 
"Bartholomew, Tracey ",2018-2019,Feb 2014 -  ,Columbia University-Barnard College ,Women's Soccer 
"Bartlett, Megan C. ",2018-2019,Aug 2015 -  ,Ball State University ,Softball 
"Bartlett, Peter ",2018-2019,Sep 2017 -  ,University of San Francisco ,Women's Tennis 
"Barton, Jack ",2018-2019,Jan 2010 -  ,Chicago State University ,Women's Tennis 
"Barton, Jack ",2018-2019,Jan 2010 -  ,Chicago State University ,Men's Tennis 
"Bartram, Carter ",2018-2019,Sep 2018 -  ,Wagner College ,Women's Fencing 
"Bashor, Andy ",2018-2019,Aug 2006 -  ,"University at Buffalo, the State University of New York ",Women's Swimming and Diving 
"Bashore, Kayla ",2018-2019,Mar 2019 -  ,"Indiana University, Bloomington ",Field Hockey 
"Basler, Andrew ",2018-2019,Oct 2018 -  ,University of Wisconsin-Milwaukee ,"Women's Track, Indoor "
"Basler, Andrew ",2018-2019,Oct 2018 -  ,University of Wisconsin-Milwaukee ,Women's Cross Country 
"Basler, Andrew ",2018-2019,Oct 2018 -  ,University of Wisconsin-Milwaukee ,"Men's Track, Indoor "
"Basler, Andrew ",2018-2019,Oct 2018 -  ,University of Wisconsin-Milwaukee ,"Men's Track, Outdoor "
"Basler, Andrew ",2018-2019,Oct 2018 -  ,University of Wisconsin-Milwaukee ,Men's Cross Country 
"Basler, Andrew ",2018-2019,Oct 2018 -  ,University of Wisconsin-Milwaukee ,"Women's Track, Outdoor "
"Bass, Dan ",2018-2019,Sep 2015 - Sep 2020 ,"Fairleigh Dickinson University, Metropolitan Campus ",Women's Fencing 
"Bastel Glaser, Emily ",2018-2019,Jul 2012 -  ,University of Florida ,Women's Golf 
"Basti, Jonathan ",2018-2019,Aug 2013 -  ,Sacred Heart University ,Men's Lacrosse 
"Bastron, Ashley ",2018-2019,Apr 2018 - Sep 2019 ,Purdue University Fort Wayne ,Men's Cross Country 
"Bastron, Ashley ",2018-2019,Apr 2018 - Sep 2019 ,Purdue University Fort Wayne ,"Women's Track, Outdoor "
"Bastron, Ashley ",2018-2019,Apr 2018 - Sep 2019 ,Purdue University Fort Wayne ,Women's Cross Country 
"Bastron, Ashley ",2018-2019,Apr 2018 - Sep 2019 ,Purdue University Fort Wayne ,"Women's Track, Indoor "
"Basye, Brittany ",2018-2019,Aug 2012 -  ,Montana State University-Bozeman ,Women's Golf 
"Batcheller, Jill ",2018-2019,Aug 2018 -  ,Drexel University ,Women's Lacrosse 
"Batchelor, Fred ",2018-2019,May 2004 -  ,University of Maryland Eastern Shore ,Women's Basketball 
"Bates, Mike ",2018-2019,Oct 1995 -  ,St. Bonaventure University ,Men's Tennis 
"Bates, Mike ",2018-2019,Oct 1995 -  ,St. Bonaventure University ,Women's Tennis 
"Batesole, Mike ",2018-2019,Jul 2002 -  ,"California State University, Fresno ",Baseball 
"Batie-Smoose, Melissa ",2018-2019,May 2015 - Apr 2019 ,College of the Holy Cross ,Women's Volleyball 
"Batiste, Summer ",2018-2019,Aug 2017 -  ,University of Texas at San Antonio ,Women's Golf 
"Baucom, Duggar ",2018-2019,Apr 2015 -  ,The Citadel ,Men's Basketball 
"Bauerle, Jack ",2018-2019,Aug 1984 -  ,University of Georgia ,Men's Swimming and Diving 
"Bauerle, Jack ",2018-2019,Aug 1979 -  ,University of Georgia ,Women's Swimming and Diving 
"Baughan, Matt ",2018-2019,Aug 2003 -  ,Cornell University ,Men's Golf 
"Bauman, Scott ",2018-2019,Aug 2003 -  ,Southern Utah University ,Women's Gymnastics 
"Baumgardner, Danielle ",2018-2019,Aug 2016 - Jul 2020 ,Saint Louis University ,Field Hockey 
"Baxter, Andrew ",2018-2019,Jul 2019 -  ,Fairfield University ,Men's Lacrosse 
"Baxter, Jeff ",2018-2019,Feb 2018 - Jun 2020 ,University of Portland ,Women's Volleyball 
"Bayley, Priscilla ",2018-2019,Feb 2019 -  ,California Polytechnic State University ,Women's Cross Country 
"Bayley, Priscilla ",2018-2019,Aug 2018 - Sep 2018 ,University of Virginia ,Women's Cross Country 
"Bazin, Norm ",2018-2019,Jun 2011 -  ,University of Massachusetts Lowell ,Men's Ice Hockey 
"Bazzani, Johnna ",2018-2019,Feb 2019 -  ,Eastern Kentucky University ,Women's Volleyball 
"Bazzani, Johnna ",2018-2019,Feb 2019 -  ,Eastern Kentucky University ,Women's Beach Volleyball 
"Beall, Marty ",2018-2019,Feb 2018 -  ,University of Richmond ,Women's Soccer 
"Beals, Greg ",2018-2019,Jul 2010 -  ,The Ohio State University ,Baseball 
"Beam, Rob ",2018-2019,Apr 2007 -  ,Oakland University ,Women's Volleyball 
"Bean, Stacey ",2018-2019,Feb 2017 -  ,Virginia Commonwealth University ,Field Hockey 
"Beard, Christopher ",2018-2019,May 2016 -  ,Texas Tech University ,Men's Basketball 
"Beard, Jeremy ",2018-2019,Aug 2017 -  ,"California State University, Bakersfield ",Baseball 
"Beard, Michael ",2018-2019,Dec 2012 -  ,Pepperdine University ,Men's Golf 
"Beasley, Frank ",2018-2019,Oct 2017 -  ,George Mason University ,Men's Wrestling 
"Beaty, David ",2018-2019,Jan 2015 - Feb 2019 ,University of Kansas ,Football 
"Beaver, Bret ",2018-2019,Oct 2018 -  ,Western Carolina University ,Women's Tennis 
"Bechard, Ray ",2018-2019,Mar 1998 -  ,University of Kansas ,Women's Volleyball 
"Becker, John ",2018-2019,Jun 2011 -  ,University of Vermont ,Men's Basketball 
"Beckerman, Todd ",2018-2019,Aug 2013 -  ,Brown University ,Men's Wrestling 
"Beckham, Mark ",2018-2019,Aug 2007 -  ,University of Louisville ,Women's Tennis 
"Beckwith, Paul ",2018-2019,Sep 1994 -  ,Cornell University ,Women's Gymnastics 
"Bedard, Brian ",2018-2019,Jul 2006 -  ,Colorado State University ,"Men's Track, Outdoor "
"Bedard, Brian ",2018-2019,Jul 2006 -  ,Colorado State University ,"Women's Track, Outdoor "
"Bedard, Brian ",2018-2019,Jul 2006 -  ,Colorado State University ,"Women's Track, Indoor "
"Bedard, Brian ",2018-2019,Jul 2006 -  ,Colorado State University ,"Men's Track, Indoor "
"Bedortha, Brad ",2018-2019,Aug 2007 -  ,Northern Arizona University ,Women's Golf 
"Beeler, Jeff ",2018-2019,Aug 2008 -  ,Radford University ,Women's Golf 
"Beeman, Laura ",2018-2019,May 2012 -  ,"University of Hawaii, Manoa ",Women's Basketball 
"Beene, Ritche ",2018-2019,Aug 2008 -  ,Alabama State University ,Men's Cross Country 
"Beene, Ritche ",2018-2019,Aug 2008 -  ,Alabama State University ,"Men's Track, Indoor "
"Beene, Ritche ",2018-2019,Aug 2008 -  ,Alabama State University ,Women's Cross Country 
"Beene, Ritche ",2018-2019,Aug 2008 -  ,Alabama State University ,"Women's Track, Outdoor "
"Beene, Ritche ",2018-2019,Aug 2008 -  ,Alabama State University ,"Women's Track, Indoor "
"Beene, Ritche ",2018-2019,Aug 2008 -  ,Alabama State University ,"Men's Track, Outdoor "
"Beguinet, Alex ",2018-2019,Aug 1985 -  ,Duke University ,Women's Fencing 
"Beguinet, Alex ",2018-2019,Aug 1985 -  ,Duke University ,Men's Fencing 
"Behn, Sarah ",2018-2019,Jul 2014 - May 2020 ,Brown University ,Women's Basketball 
"Behnke, JP ",2018-2019,Oct 2018 -  ,University of Arkansas at Little Rock ,"Men's Track, Indoor "
"Behnke, JP ",2018-2019,Oct 2018 -  ,University of Arkansas at Little Rock ,"Women's Track, Outdoor "
"Behnke, JP ",2018-2019,Oct 2018 -  ,University of Arkansas at Little Rock ,"Men's Track, Outdoor "
"Behnke, JP ",2018-2019,Oct 2018 -  ,University of Arkansas at Little Rock ,"Women's Track, Indoor "
"Behnke, JP ",2018-2019,Oct 2018 -  ,University of Arkansas at Little Rock ,Women's Cross Country 
"Behnke, JP ",2018-2019,Oct 2018 -  ,University of Arkansas at Little Rock ,Men's Cross Country 
"Beilein, John ",2018-2019,May 2007 - Jun 2019 ,University of Michigan ,Men's Basketball 
"Beilein, Patrick ",2018-2019,May 2019 - Dec 2019 ,Niagara University ,Men's Basketball 
"Beirne, Elisabeth ",2018-2019,Aug 2017 -  ,Indiana University-Purdue University Indianapolis ,Softball 
"Belfield, Matt ",2018-2019,Sep 2003 -  ,University of Vermont ,"Women's Track, Outdoor "
"Belfield, Matt ",2018-2019,Sep 2003 -  ,University of Vermont ,"Men's Track, Outdoor "
"Belfield, Matt ",2018-2019,Sep 2003 -  ,University of Vermont ,"Women's Track, Indoor "
"Belfield, Matt ",2018-2019,Sep 2003 -  ,University of Vermont ,Women's Cross Country 
"Belfield, Matt ",2018-2019,Sep 2003 -  ,University of Vermont ,Men's Cross Country 
"Belfield, Matt ",2018-2019,Sep 2003 -  ,University of Vermont ,"Men's Track, Indoor "
"Belichick, Amanda ",2018-2019,Aug 2015 -  ,College of the Holy Cross ,Women's Lacrosse 
"Belk, Molly ",2018-2019,Aug 2017 - Feb 2019 ,Manhattan College ,Women's Swimming and Diving 
"Belk, Molly ",2018-2019,Aug 2017 - Feb 2019 ,Manhattan College ,Men's Swimming and Diving 
"Bell, Brien ",2018-2019,Aug 2018 -  ,Syracuse University ,Women's Cross Country 
"Bell, Brien ",2018-2019,Aug 2018 -  ,Syracuse University ,"Women's Track, Indoor "
"Bell, Brien ",2018-2019,Aug 2018 -  ,Syracuse University ,Men's Cross Country 
"Bell, Brien ",2018-2019,Aug 2018 -  ,Syracuse University ,"Men's Track, Indoor "
"Bell, Brien ",2018-2019,Aug 2018 -  ,Syracuse University ,"Men's Track, Outdoor "
"Bell, Brien ",2018-2019,Aug 2018 -  ,Syracuse University ,"Women's Track, Outdoor "
"Bell, Eric ",2018-2019,Jan 2012 -  ,Texas Christian University ,Women's Soccer 
"Bell, Jon ",2018-2019,Sep 2007 -  ,Saint Louis University ,"Women's Track, Indoor "
"Bell, Jon ",2018-2019,Sep 2007 -  ,Saint Louis University ,"Women's Track, Outdoor "
"Bell, Jon ",2018-2019,Sep 2007 -  ,Saint Louis University ,"Men's Track, Outdoor "
"Bell, Jon ",2018-2019,Sep 2007 -  ,Saint Louis University ,Women's Cross Country 
"Bell, Jon ",2018-2019,Sep 2007 -  ,Saint Louis University ,"Men's Track, Indoor "
"Bell, Jon ",2018-2019,Sep 2007 -  ,Saint Louis University ,Men's Cross Country 
"Bell, Mike ",2018-2019,Aug 2018 -  ,University of Pittsburgh ,Baseball 
"Bell, Walt ",2018-2019,Feb 2019 -  ,"University of Massachusetts, Amherst ",Football 
"Bellomy, Brooke ",2018-2019,Aug 2016 -  ,Marshall University ,Women's Golf 
"Belzung, Kristin ",2018-2019,Feb 2017 -  ,Stony Brook University ,Women's Volleyball 
"Benatti, Cesar ",2018-2019,Aug 2016 -  ,"California State University, Bakersfield ",Women's Beach Volleyball 
"Benben, Rick ",2018-2019,Feb 1998 - Feb 2020 ,University of Missouri-Kansas City ,Men's Soccer 
"Benitez, Diego ",2018-2019,May 2006 -  ,University of Texas at Arlington ,Women's Tennis 
"Benitez, Diego ",2018-2019,May 2006 -  ,University of Texas at Arlington ,Men's Tennis 
"Bennett, Alexis ",2018-2019,Oct 2016 -  ,High Point University ,Women's Golf 
"Bennett, Anthony ",2018-2019,May 2009 -  ,University of Virginia ,Men's Basketball 
"Bennett, Brett ",2018-2019,Aug 2018 -  ,University of South Dakota ,Women's Golf 
"Bennett, Geoff ",2018-2019,May 2004 -  ,Colorado College ,Women's Soccer 
"Bennett, Louis ",2018-2019,Jan 2006 -  ,Marquette University ,Men's Soccer 
"Bennett, Randy ",2018-2019,May 2001 -  ,Saint Mary's College of California ,Men's Basketball 
"Bennett, Rick ",2018-2019,May 2011 -  ,Union College (New York) ,Men's Ice Hockey 
"Benson, Natalie ",2018-2019,Sep 2017 -  ,"California State University, Fresno ",Women's Water Polo 
"Bentley, John Mark ",2018-2019,Aug 2009 -  ,Appalachian State University ,Men's Wrestling 
"Bentley, Nigel ",2018-2019,Jun 2000 -  ,Boston College ,Women's Tennis 
"Berard, David ",2018-2019,Jul 2014 -  ,College of the Holy Cross ,Men's Ice Hockey 
"Berbary, Amy ",2018-2019,Mar 2013 - Jan 2019 ,"Indiana University, Bloomington ",Women's Soccer 
"Berenato, Agnus ",2018-2019,Jun 2016 -  ,Kennesaw State University ,Women's Basketball 
"Berg, Laura ",2018-2019,Aug 2012 -  ,Oregon State University ,Softball 
"Bergeron, Chris ",2018-2019,May 2019 -  ,Miami University (Ohio) ,Men's Ice Hockey 
"Bergeron, Chris ",2018-2019,May 2010 - May 2019 ,Bowling Green State University ,Men's Ice Hockey 
"Bergeron, Greg ",2018-2019,May 2019 - Jul 2019 ,Long Beach State University ,Baseball 
"Berglund, Joanne ",2018-2019,Jun 2011 -  ,University of North Florida ,Women's Golf 
"Bergmann, Chris ",2018-2019,Feb 2015 - Feb 2019 ,Virginia Military Institute ,Women's Soccer 
"Bergmann, Chris ",2018-2019,Feb 2019 -  ,Stetson University ,Women's Soccer 
"Berkley, Amanda ",2018-2019,Feb 2018 -  ,Loyola University Chicago ,Women's Volleyball 
"Bermel, Jamie ",2018-2019,Aug 2012 -  ,University of Kansas ,Men's Golf 
"Bermel, John ",2018-2019,Aug 2003 -  ,University of Northern Iowa ,Men's Golf 
"Bermel, John ",2018-2019,Aug 2003 -  ,University of Northern Iowa ,Women's Golf 
"Bernabei-McNamee, Joanna ",2018-2019,May 2018 -  ,Boston College ,Women's Basketball 
"Bernson, Sarah ",2018-2019,Aug 2017 -  ,George Washington University ,Women's Volleyball 
"Bernstein, Ronni ",2018-2019,Sep 2007 -  ,University of Michigan ,Women's Tennis 
"Bernthal, Stephanie ",2018-2019,Apr 2018 -  ,Ball State University ,Field Hockey 
"Berque, Bruce ",2018-2019,Apr 2019 -  ,University of Texas at Austin ,Men's Tennis 
"Berry, Brad ",2018-2019,Jun 2015 -  ,University of North Dakota ,Men's Ice Hockey 
"Berry, Kari-Lei ",2018-2019,Aug 2016 - Sep 2019 ,Delaware State University ,Women's Lacrosse 
"Berry, Scott ",2018-2019,Aug 2009 -  ,The University of Southern Mississippi ,Baseball 
"Berryhill, Bryan ",2018-2019,Jul 2012 -  ,University of Wyoming ,"Men's Track, Indoor "
"Berryhill, Bryan ",2018-2019,Jul 2012 -  ,University of Wyoming ,"Women's Track, Outdoor "
"Berryhill, Bryan ",2018-2019,Jul 2012 - Aug 2019 ,University of Wyoming ,Women's Cross Country 
"Berryhill, Bryan ",2018-2019,Jul 2012 -  ,University of Wyoming ,"Women's Track, Indoor "
"Berryhill, Bryan ",2018-2019,Jul 2012 -  ,University of Wyoming ,"Men's Track, Outdoor "
"Berryhill, Bryan ",2018-2019,Jul 2012 - Aug 2019 ,University of Wyoming ,Men's Cross Country 
"Berson, Mark ",2018-2019,Sep 1978 -  ,"University of South Carolina, Columbia ",Men's Soccer 
"Bertolini, Dan ",2018-2019,Aug 2016 -  ,Youngstown State University ,Baseball 
"Bertucci, Robert ",2018-2019,Nov 2018 -  ,Sacred Heart University ,Men's Volleyball 
"Berube, Carla ",2018-2019,Aug 2019 -  ,Princeton University ,Women's Basketball 
"Besovic, Helena ",2018-2019,Aug 2018 -  ,University of Houston ,Women's Tennis 
"Best, Aaron ",2018-2019,Dec 2016 -  ,Eastern Washington University ,Football 
"Bevan, Jim ",2018-2019,Aug 2005 -  ,Rice University ,"Women's Track, Outdoor "
"Bevan, Jim ",2018-2019,Aug 2005 -  ,Rice University ,"Women's Track, Indoor "
"Bevan, Jim ",2018-2019,Aug 2005 -  ,Rice University ,Women's Cross Country 
"Beyers, Mark ",2018-2019,Aug 2003 -  ,University of Mississippi ,Women's Tennis 
"Bhattacharjee, Neel ",2018-2019,May 2016 -  ,Binghamton University ,Women's Soccer 
"Bianco, Mike ",2018-2019,Jul 2000 -  ,University of Mississippi ,Baseball 
"Bibaud, Tim ",2018-2019,Aug 2015 -  ,College of the Holy Cross ,Women's Golf 
"Bickford, Toni ",2018-2019,Oct 2018 -  ,William & Mary ,Women's Tennis 
"Bidne, Stephen ",2018-2019,Jul 2017 -  ,"University of Hawaii, Manoa ",Women's Golf 
"Biehl-Lukkarinen, Lia ",2018-2019,Aug 2005 -  ,Western Illinois University ,Women's Golf 
"Bieser, Steve ",2018-2019,Aug 2016 -  ,"University of Missouri, Columbia ",Baseball 
"Biggin, Brice ",2018-2019,Aug 1992 -  ,Kent State University ,Women's Gymnastics 
"Biggs, Andy ",2018-2019,Dec 2014 -  ,Bryant University ,Women's Soccer 
"Billinger, Erik ",2018-2019,Jul 2014 - Aug 2020 ,University of Denver ,Men's Golf 
"Billups, Rodney ",2018-2019,May 2016 -  ,University of Denver ,Men's Basketball 
"Bimbi, Barry ",2018-2019,Jun 2011 -  ,Loyola University Chicago ,Women's Soccer 
"Binford, Tricia ",2018-2019,May 2005 -  ,Montana State University-Bozeman ,Women's Basketball 
"Bingham, Lance ",2018-2019,Jul 2016 - Jul 2020 ,Abilene Christian University ,Men's Cross Country 
"Bingham, Lance ",2018-2019,Sep 2016 - Jul 2020 ,Abilene Christian University ,"Men's Track, Indoor "
"Bingham, Lance ",2018-2019,Sep 2016 - Jul 2020 ,Abilene Christian University ,"Women's Track, Indoor "
"Bingham, Lance ",2018-2019,Sep 2016 - Jul 2020 ,Abilene Christian University ,Women's Cross Country 
"Bingham, Lance ",2018-2019,Sep 2016 - Jul 2020 ,Abilene Christian University ,"Women's Track, Outdoor "
"Bingham, Lance ",2018-2019,Sep 2016 - Jul 2020 ,Abilene Christian University ,"Men's Track, Outdoor "
"Bingle, Matt ",2018-2019,Mar 2019 -  ,"University of Minnesota, Twin Cities ","Men's Track, Outdoor "
"Bingle, Matt ",2018-2019,Aug 2006 -  ,"University of Minnesota, Twin Cities ","Women's Track, Indoor "
