"","Name","Date","Period","School","Sport"
"253","Baloga, Christopher ","2018-2019","Sep 2010 -  ","Loyola University Maryland ","Men's Golf "
"254","Balogun, Kathryn ","2018-2019","Feb 2019 -  ","University of Texas at El Paso ","Women's Soccer "
"255","Bambenek, Amy ","2018-2019","Sep 2015 - May 2020 ","University of North Carolina Wilmington ","Women's Beach Volleyball "
"256","Bambenek, Amy ","2018-2019","Apr 2009 - May 2020 ","University of North Carolina Wilmington ","Women's Volleyball "
"257","Banbury, Chelsea ","2018-2019","Jul 2019 -  ","High Point University ","Women's Basketball "
"258","Bandy, Kayla ","2018-2019","Aug 2013 -  ","University of Maryland Eastern Shore ","Women's Bowling "
"259","Banghart, Courtney ","2018-2019","Jun 2019 -  ","University of North Carolina, Chapel Hill ","Women's Basketball "
"260","Banghart, Courtney ","2018-2019","Jun 2007 - Jun 2019 ","Princeton University ","Women's Basketball "
"261","Banks, Pauline ","2018-2019","Aug 2009 -  ","Texas Southern University ","Women's Cross Country "
"262","Banks, Pauline ","2018-2019","Aug 2009 -  ","Texas Southern University ","Women's Track, Indoor "
"263","Banks, Pauline ","2018-2019","Aug 2009 -  ","Texas Southern University ","Women's Track, Outdoor "
"264","Baranczyk, Jennie ","2018-2019","May 2012 -  ","Drake University ","Women's Basketball "
"265","Barany, Matt ","2018-2019","Jun 2005 -  ","University of Richmond ","Women's Swimming and Diving "
"266","Barber, Sam ","2018-2019","Jun 2014 -  ","U.S. Air Force Academy ","Men's Wrestling "
"267","Barbier, Bobby ","2018-2019","Jul 2016 -  ","Northwestern State University ","Baseball "
"268","Barboto, Fernando ","2018-2019","Mar 2016 -  ","New Jersey Institute of Technology ","Men's Soccer "
"269","Barcomb, Suzy ","2018-2019","Jun 2016 -  ","Seattle University ","Women's Basketball "
"270","Barefoot, Karen ","2018-2019","Jun 2017 -  ","University of North Carolina Wilmington ","Women's Basketball "
"271","Bareford, Robert ","2018-2019","Oct 2018 -  ","Radford University ","Men's Tennis "
"272","Bargfeldt, John ","2018-2019","Sep 2005 - Jul 2019 ","The University of Tulsa ","Softball "
