"","Name","Date","Period","School","Sport"
"5208","Plitzuweit, Dawn ","2018-2019","May 2016 -  ","University of South Dakota ","Women's Basketball "
"5209","Plocki, Bev ","2018-2019","Aug 1990 -  ","University of Michigan ","Women's Gymnastics "
"5210","Plotkin, Mark ","2018-2019","Feb 2018 -  ","DePaul University ","Men's Soccer "
"5211","Plucienski, Derek ","2018-2019","Jun 2019 - Mar 2021 ","McNeese State University ","Men's Golf "
"5212","Plumer, James ","2018-2019","Jun 2012 -  ","University of Vermont ","Women's Ice Hockey "
"5213","Plunkett, Tory ","2018-2019","Aug 2003 -  ","Texas State University ","Women's Tennis "
"5214","Pogue, Eric ","2018-2019","Jun 2009 -  ","Oakland University ","Men's Soccer "
"5215","Pointer, Tasha ","2018-2019","May 2018 -  ","University of Illinois Chicago ","Women's Basketball "
"5216","Poitier, Edric ","2018-2019","Aug 2016 - Apr 2019 ","Savannah State University ","Women's Volleyball "
"5217","Poitras, Tom ","2018-2019","May 2011 -  ","University of Hartford ","Men's Soccer "
"5218","Polhamus, Sally ","2018-2019","Jan 2014 -  ","Georgia State University ","Women's Volleyball "
"5219","Poli, Mason ","2018-2019","Dec 2018 -  ","Quinnipiac University ","Men's Lacrosse "
"5220","Poling, Jim ","2018-2019","Oct 2002 -  ","U.S. Military Academy ","Men's Tennis "
"5221","Polk, Nick ","2018-2019","Jul 2019 -  ","Lipscomb University ","Men's Track, Indoor "
"5222","Polk, Nick ","2018-2019","Jul 2019 -  ","Lipscomb University ","Women's Cross Country "
"5223","Polk, Nick ","2018-2019","Jul 2019 -  ","Lipscomb University ","Women's Track, Outdoor "
"5224","Polk, Nick ","2018-2019","Jul 2019 -  ","Lipscomb University ","Women's Track, Indoor "
"5225","Polk, Nick ","2018-2019","Jul 2019 -  ","Lipscomb University ","Men's Track, Outdoor "
"5226","Polk, Nick ","2018-2019","Jul 2019 -  ","Lipscomb University ","Men's Cross Country "
"5227","Polka, Jason ","2018-2019","Sep 2016 - Aug 2019 ","Niagara University ","Women's Golf "
"5228","Pollard, Christopher ","2018-2019","Aug 2012 -  ","Duke University ","Baseball "
"5229","Pollard, Claire ","2018-2019","Aug 2003 -  ","Northwestern University ","Women's Tennis "
"5230","Polley, Ryan ","2018-2019","Aug 2012 -  ","Boston University ","Men's Lacrosse "
"5231","Pollock, Daniel ","2018-2019","Sep 2018 - Sep 2019 ","Butler University ","Men's Tennis "
"5232","Pollock, Elton ","2018-2019","Sep 2004 -  ","Presbyterian College ","Baseball "
"5233","Polson, Ralph ","2018-2019","Mar 2008 - Oct 2019 ","Wofford College ","Men's Soccer "
"5234","Poole, Chris ","2018-2019","Aug 2008 -  ","Florida State University ","Women's Volleyball "
"5235","Poole, Natalie ","2018-2019","Sep 2011 -  ","University of Memphis ","Softball "
"5236","Pope, Mark ","2018-2019","May 2015 - May 2019 ","Utah Valley University ","Men's Basketball "
"5237","Pope, Mark ","2018-2019","Jun 2019 -  ","Brigham Young University ","Men's Basketball "
"5238","Popolizio, Pat ","2018-2019","Jun 2012 -  ","North Carolina State University ","Men's Wrestling "
"5239","Poppell, Jeff ","2018-2019","Aug 2018 -  ","University of Florida ","Women's Swimming and Diving "
"5240","Porten, Tom ","2018-2019","Sep 2009 - Jul 2019 ","Northern Illinois University ","Men's Golf "
"5241","Porter, Seth ","2018-2019","Jan 2016 -  ","University of Nebraska Omaha ","Men's Golf "
"5242","Porter, Seth ","2018-2019","Aug 2016 -  ","University of Nebraska Omaha ","Women's Golf "
"5243","Porter, Terry ","2018-2019","May 2016 - Mar 2021 ","University of Portland ","Men's Basketball "
"5244","Porter, Will ","2018-2019","Aug 1998 -  ","Yale University ","Women's Rowing "
"5245","Portie, Ben ","2018-2019","Sep 2017 -  ","University of Northern Colorado ","Women's Golf "
"5246","Posey, Christi ","2018-2019","Mar 2011 -  ","University of Missouri-Kansas City ","Women's Volleyball "
"5247","Poskay, Matt ","2018-2019","Jul 2011 - Nov 2018 ","Wagner College ","Men's Lacrosse "
"5248","Post, Patty ","2018-2019","Jun 2017 -  ","University of Delaware ","Men's Golf "
"5249","Post, Patty ","2018-2019","Feb 2011 -  ","University of Delaware ","Women's Golf "
"5250","Posthumus, Lisa ","2018-2019","Jul 1993 -  ","Stanford University ","Women's Fencing "
"5251","Posthumus, Lisa ","2018-2019","Oct 1999 -  ","Stanford University ","Men's Fencing "
"5252","Poteet, David ","2018-2019","Aug 2015 - Mar 2019 ","Kennesaw State University ","Women's Cross Country "
"5253","Poteet, David ","2018-2019","Aug 2015 - Mar 2019 ","Kennesaw State University ","Men's Cross Country "
"5254","Potkay, Douglas ","2018-2019","Oct 2014 -  ","Rider University ","Women's Tennis "
"5255","Potkay, Douglas ","2018-2019","Oct 2014 -  ","Rider University ","Men's Tennis "
"5256","Potsklan, Steve ","2018-2019","Aug 2003 -  ","Fordham University ","Men's Swimming and Diving "
"5257","Potsklan, Steve ","2018-2019","Aug 2003 -  ","Fordham University ","Women's Swimming and Diving "
"5258","Potter, Dan ","2018-2019","Aug 2014 -  ","Boise State University ","Men's Golf "
"5259","Potter, Jonathan ","2018-2019","Apr 2016 -  ","Presbyterian College ","Men's Soccer "
"5260","Potter, Matt ","2018-2019","Jan 2012 - Dec 2019 ","University of Oklahoma ","Women's Soccer "
"5261","Potter, Mic ","2018-2019","Aug 2005 -  ","University of Alabama ","Women's Golf "
"5262","Potthoff, Jason ","2018-2019","Aug 2017 -  ","University of Wisconsin-Milwaukee ","Women's Tennis "
"5263","Pottish, Dillon ","2018-2019","Sep 2018 -  ","St. John's University (New York) ","Men's Tennis "
"5264","Potulny, Grant ","2018-2019","May 2017 -  ","Northern Michigan University ","Men's Ice Hockey "
"5265","Pough, Oliver 'Buddy' ","2018-2019","Aug 2003 -  ","South Carolina State University ","Football "
"5266","Powell , Karla  ","2018-2019","Mar 2019 -  ","University of Maryland Eastern Shore ","Softball "
"5267","Powell, Andy ","2018-2019","Jul 2018 -  ","University of Washington ","Men's Track, Outdoor "
"5268","Powell, Andy ","2018-2019","Jul 2018 -  ","University of Washington ","Men's Cross Country "
"5269","Powell, Andy ","2018-2019","Jul 2018 -  ","University of Washington ","Men's Track, Indoor "
"5270","Powell, Maurica  ","2018-2019","Jul 2018 -  ","University of Washington ","Women's Track, Outdoor "
"5271","Powell, Maurica  ","2018-2019","Jul 2018 -  ","University of Washington ","Women's Track, Indoor "
"5272","Powell, Maurica  ","2018-2019","Jul 2018 -  ","University of Washington ","Women's Cross Country "
"5273","Powell, Michael ","2018-2019","Jan 2017 -  ","William & Mary ","Men's Gymnastics "
"5274","Powell, Nicole ","2018-2019","May 2017 - May 2020 ","Grand Canyon University ","Women's Basketball "
"5275","Powell, Rose ","2018-2019","Jul 2014 -  ","Alabama A&M University ","Women's Volleyball "
"5276","Powenski, Stephen ","2018-2019","Sep 2011 - Oct 2019 ","Chicago State University ","Men's Cross Country "
"5277","Powenski, Stephen ","2018-2019","Sep 2011 - Oct 2019 ","Chicago State University ","Women's Cross Country "
"5278","Powers, Chris ","2018-2019","Sep 2004 -  ","Coastal Carolina University ","Men's Tennis "
"5279","Powers, Greg ","2018-2019","Dec 2014 -  ","Arizona State University ","Men's Ice Hockey "
"5280","Powers, John ","2018-2019","Dec 2017 -  ","Bowling Green State University ","Men's Golf "
"5281","Pozzan, Giorgia ","2018-2019","Sep 2018 -  ","McNeese State University ","Women's Tennis "
"5282","Pratt, Rick ","2018-2019","Aug 2005 -  ","New Mexico State University ","Women's Swimming and Diving "
"5283","Pratt, Ryan ","2018-2019","Jul 2017 -  ","Houston Baptist University ","Men's Soccer "
"5284","Preacco, Lara ","2018-2019","Jun 2014 -  ","Florida Atlantic University ","Men's Swimming and Diving "
"5285","Preacco, Lara ","2018-2019","Jun 2014 -  ","Florida Atlantic University ","Women's Swimming and Diving "
"5286","Prenzlow, Roger ","2018-2019","Nov 2013 -  ","University of Northern Colorado ","Men's Golf "
"5287","Presnell, Gordy ","2018-2019","Jul 2005 -  ","Boise State University ","Women's Basketball "
"5288","Pressler, Mike ","2018-2019","Sep 2006 -  ","Bryant University ","Men's Lacrosse "
"5289","Preston, Ashley ","2018-2019","Feb 2015 -  ","California State University, Fullerton ","Women's Volleyball "
"5290","Pretre, Ed ","2018-2019","Jun 2019 -  ","Colgate University ","Men's Swimming and Diving "
"5291","Pretre, Ed ","2018-2019","Jun 2019 -  ","Colgate University ","Women's Swimming and Diving "
"5292","Price, George ","2018-2019","Apr 2014 -  ","Lamar University ","Men's Basketball "
"5293","Price, Justin ","2018-2019","Sep 2017 -  ","Rutgers, The State University of New Jersey, New Brunswick ","Women's Rowing "
"5294","Price, Ritch ","2018-2019","Aug 2002 -  ","University of Kansas ","Baseball "
"5295","Price-Smith, Connie ","2018-2019","Sep 2015 -  ","University of Mississippi ","Men's Track, Indoor "
"5296","Price-Smith, Connie ","2018-2019","Sep 2015 -  ","University of Mississippi ","Women's Cross Country "
"5297","Price-Smith, Connie ","2018-2019","Sep 2015 -  ","University of Mississippi ","Men's Cross Country "
"5298","Price-Smith, Connie ","2018-2019","Sep 2015 -  ","University of Mississippi ","Women's Track, Outdoor "
"5299","Price-Smith, Connie ","2018-2019","Sep 2015 -  ","University of Mississippi ","Women's Track, Indoor "
"5300","Price-Smith, Connie ","2018-2019","Sep 2015 -  ","University of Mississippi ","Men's Track, Outdoor "
"5301","Prince, Ron ","2018-2019","Feb 2019 - Mar 2020 ","Howard University ","Football "
"5302","Prioleau, Jean ","2018-2019","Sep 2017 -  ","San Jose State University ","Men's Basketball "
"5303","Priore, Chuck ","2018-2019","Jan 2006 -  ","Stony Brook University ","Football "
"5304","Priore, Ray ","2018-2019","Jan 2015 -  ","University of Pennsylvania ","Football "
"5305","Procaccio, Gina ","2018-2019","Sep 1994 -  ","Villanova University ","Women's Track, Indoor "
"5306","Procaccio, Gina ","2018-2019","Feb 2006 -  ","Villanova University ","Women's Cross Country "
"5307","Procaccio, Gina ","2018-2019","Sep 1994 -  ","Villanova University ","Women's Track, Outdoor "
"5308","Prohm, Steve ","2018-2019","Jul 2015 -  ","Iowa State University ","Men's Basketball "
"5309","Proietti, Lou ","2018-2019","Jul 2019 -  ","Saint Peter's University ","Baseball "
"5310","Prosser, Mark ","2018-2019","May 2018 -  ","Western Carolina University ","Men's Basketball "
"5311","Provence, Jeremy ","2018-2019","Jun 2018 -  ","University of North Alabama ","Women's Cross Country "
"5312","Provence, Jeremy ","2018-2019","Jun 2018 -  ","University of North Alabama ","Men's Cross Country "
"5313","Prudhomme, Greg ","2018-2019","Sep 2009 -  ","Grand Canyon University ","Women's Tennis "
"5314","Prudhomme, Greg ","2018-2019","Sep 2007 -  ","Grand Canyon University ","Men's Tennis "
"5315","Pruett, Rachel ","2018-2019","Aug 2015 -  ","Drake University ","Women's Golf "
"5316","Pruitt, Courtney ","2018-2019","Sep 2016 - May 2020 ","Alcorn State University ","Women's Basketball "
"5317","Pruitt, Jeremy ","2018-2019","Feb 2018 - Feb 2021 ","University of Tennessee, Knoxville ","Football "
"5318","Prunty, Robert ","2018-2019","Feb 2018 -  ","Hampton University ","Football "
"5319","Pryor, Mark ","2018-2019","Feb 2014 - Jun 2019 ","University of North Dakota ","Women's Volleyball "
"5320","Pryor, Ryan ","2018-2019","Aug 2014 - Jul 2020 ","Virginia Military Institute ","Women's Water Polo "
"5321","Ptasnik, Elliot ","2018-2019","Jun 2019 -  ","University of Hawaii, Manoa ","Men's Swimming and Diving "
"5322","Ptasnik, Elliot ","2018-2019","Jun 2019 -  ","University of Hawaii, Manoa ","Women's Swimming and Diving "
"5323","Pugh, Sandy ","2018-2019","Jun 2018 -  ","Prairie View A&M University ","Women's Basketball "
"5324","Pujol, Tony ","2018-2019","May 2018 -  ","University of North Alabama ","Men's Basketball "
"5325","Pumford, Nick ","2018-2019","Jul 2016 -  ","Oakland University ","Men's Golf "
"5326","Purcell, Brian ","2018-2019","Sep 2003 -  ","Presbyterian College ","Women's Soccer "
"5327","Purcell, Seamus ","2018-2019","Sep 1999 -  ","Bryant University ","Men's Soccer "
"5328","Purdy, Ryan ","2018-2019","Jun 2017 - May 2019 ","Youngstown State University ","Women's Swimming and Diving "
"5329","Pursley, Dennis ","2018-2019","Aug 2012 - Jun 2019 ","University of Alabama ","Men's Swimming and Diving "
"5330","Pursley, Dennis ","2018-2019","Oct 2012 - Jun 2019 ","University of Alabama ","Women's Swimming and Diving "
"5331","Puryear, Keith ","2018-2019","Dec 2008 -  ","U.S. Naval Academy ","Women's Tennis "
"5332","Putyrae, Glenn ","2018-2019","Aug 2018 -  ","University of Alabama ","Women's Rowing "
"5333","Puzan, Lawrence ","2018-2019","Aug 2013 -  ","Niagara University ","Softball "
"5334","Puzo, Inako ","2018-2019","Sep 2011 -  ","Miami University (Ohio) ","Field Hockey "
"5335","Quinlan, Gerry ","2018-2019","Aug 2000 -  ","Saint Joseph's University ","Women's Rowing "
"5336","Quinn, Brian ","2018-2019","Aug 2007 -  ","Temple University ","Men's Golf "
"5337","Quinn, Brian ","2018-2019","Aug 2018 -  ","University of San Diego ","Men's Soccer "
"5338","Quinn, Shawn ","2018-2019","Mar 2019 -  ","Savannah State University ","Football "
"5339","Quinney, Katie ","2018-2019","Feb 2009 -  ","Coastal Carolina University ","Women's Golf "
"5340","Quintana, Louie ","2018-2019","Aug 2017 -  ","Oregon State University ","Women's Track, Indoor "
"5341","Quintana, Louie ","2018-2019","Aug 2017 -  ","Oregon State University ","Women's Track, Outdoor "
"5342","Quintana, Louie ","2018-2019","Aug 2017 -  ","Oregon State University ","Women's Cross Country "
"5343","Raccuia, Joe ","2018-2019","Aug 2007 - Nov 2019 ","Radford University ","Baseball "
"5344","Rackham, Eve ","2018-2019","Feb 2018 -  ","University of Tennessee, Knoxville ","Women's Volleyball "
"5345","Radebaugh, Barclay ","2018-2019","Jun 2005 -  ","Charleston Southern University ","Men's Basketball "
"5346","Radecki, Stephanie ","2018-2019","Feb 2018 -  ","The University of Southern Mississippi ","Women's Volleyball "
"5347","Radley, Derek ","2018-2019","Aug 2018 -  ","University of Oregon ","Women's Golf "
"5348","Radmonovich, Chris ","2018-2019","Oct 2010 - Oct 2019 ","Wagner College ","Women's Water Polo "
"5349","Radmonovich, Chris ","2018-2019","Oct 2015 - Oct 2019 ","Wagner College ","Men's Water Polo "
"5350","Radnoti, Robert ","2018-2019","Sep 2006 - Jun 2019 ","Pepperdine University ","Men's Cross Country "
"5351","Radnoti, Robert ","2018-2019","Sep 2016 - Jun 2019 ","Pepperdine University ","Women's Track, Indoor "
"5352","Radnoti, Robert ","2018-2019","Aug 2007 - Jun 2019 ","Pepperdine University ","Men's Track, Outdoor "
"5353","Radnoti, Robert ","2018-2019","Sep 2006 - Jun 2019 ","Pepperdine University ","Women's Cross Country "
"5354","Radnoti, Robert ","2018-2019","Aug 2006 - Jun 2019 ","Pepperdine University ","Women's Track, Outdoor "
"5355","Radwanski, Eddie ","2018-2019","Jan 2011 -  ","Clemson University ","Women's Soccer "
"5356","Raeburn, Erik ","2018-2019","May 2016 - Mar 2019 ","Savannah State University ","Football "
"5357","Raffo, Tommy ","2018-2019","Aug 2008 -  ","Arkansas State University ","Baseball "
"5358","Rahe, Randy ","2018-2019","Apr 2006 -  ","Weber State University ","Men's Basketball "
"5359","Rainbolt, Steve ","2018-2019","Sep 2000 -  ","Wichita State University ","Men's Track, Indoor "
"5360","Rainbolt, Steve ","2018-2019","Sep 2000 -  ","Wichita State University ","Women's Track, Outdoor "
"5361","Rainbolt, Steve ","2018-2019","Sep 2000 -  ","Wichita State University ","Men's Track, Outdoor "
"5362","Rainbolt, Steve ","2018-2019","Sep 2000 -  ","Wichita State University ","Women's Track, Indoor "
"5363","Rainey, Ron ","2018-2019","May 2014 -  ","Dartmouth College ","Women's Soccer "
"5364","Ramirez, Danny ","2018-2019","Feb 2017 - Jul 2019 ","Saint Peter's University ","Baseball "
"5365","Ramos, Angelina  ","2018-2019","Oct 2018 - Aug 2019 ","University of Nevada, Las Vegas ","Women's Cross Country "
"5366","Rankin, Josef ","2018-2019","Oct 2014 -  ","Alcorn State University ","Softball "
"5367","Rast, Cameron ","2018-2019","Aug 2002 -  ","Santa Clara University ","Men's Soccer "
"5368","Ratcliffe, Paul ","2018-2019","Mar 2003 -  ","Stanford University ","Women's Soccer "
"5369","Ravaioli-Larkin, Angie ","2018-2019","Sep 1994 -  ","Texas Christian University ","Women's Golf "
"5370","Ray, Conrad ","2018-2019","Aug 2004 -  ","Stanford University ","Men's Golf "
"5371","Ray, Elise ","2018-2019","Sep 2016 -  ","University of Washington ","Women's Gymnastics "
"5372","Ray, Marshall ","2018-2019","Jan 2015 -  ","University of Evansville ","Men's Soccer "
"5373","Ray, Rick ","2018-2019","May 2015 - Apr 2020 ","Southeast Missouri State University ","Men's Basketball "
"5374","Ray, Rod ","2018-2019","Oct 2001 -  ","Wofford College ","Men's Tennis "
"5375","Ray, Steve ","2018-2019","Sep 2005 - Aug 2020 ","Jacksonville State University ","Women's Track, Indoor "
"5376","Ray, Steve ","2018-2019","Sep 2005 - Aug 2020 ","Jacksonville State University ","Women's Cross Country "
"5377","Ray, Steve ","2018-2019","Sep 2005 - Aug 2020 ","Jacksonville State University ","Women's Track, Outdoor "
"5378","Ray, Steve ","2018-2019","Sep 2005 - Aug 2020 ","Jacksonville State University ","Men's Cross Country "
"5379","Rayfield, Janet ","2018-2019","Aug 2002 -  ","University of Illinois Urbana-Champaign ","Women's Soccer "
"5380","Raymond, Greg ","2018-2019","Aug 2013 -  ","Hobart and William Smith Colleges ","Men's Lacrosse "
"5381","Raz, Yossi ","2018-2019","Apr 2017 -  ","University of California, Irvine ","Men's Soccer "
"5382","Read, Samuel ","2018-2019","Aug 2018 -  ","Eastern Washington University ","Men's Cross Country "
"5383","Read, Samuel ","2018-2019","Aug 2018 -  ","Eastern Washington University ","Women's Cross Country "
"5384","Rebhan, Gator ","2018-2019","Oct 2014 - Nov 2018 ","Florida International University ","Softball "
"5385","Rebowe, Tim ","2018-2019","Feb 2015 -  ","Nicholls State University ","Football "
"5386","Rechlicz, Kyle ","2018-2019","Jun 2012 -  ","University of Wisconsin-Milwaukee ","Women's Basketball "
"5387","Redburn, Mark ","2018-2019","Aug 2014 -  ","Southeast Missouri State University ","Softball "
"5388","Redfern, Jill ","2018-2019","Jul 2008 -  ","Lehigh University ","Women's Lacrosse "
"5389","Redman, Bo ","2018-2019","Oct 2017 - Nov 2019 ","Appalachian State University ","Men's Golf "
"5390","Redman, Michele ","2018-2019","Sep 2011 - Mar 2021 ","University of Minnesota, Twin Cities ","Women's Golf "
"5391","Redondo, Ryan ","2018-2019","Sep 2010 - Feb 2020 ","University of the Pacific ","Men's Tennis "
"5392","Redshaw, Heather ","2018-2019","Sep 2000 -  ","Oakland University ","Women's Tennis "
"5393","Redwine, Stanley ","2018-2019","Jul 2000 -  ","University of Kansas ","Women's Track, Outdoor "
"5394","Redwine, Stanley ","2018-2019","Jul 2000 -  ","University of Kansas ","Men's Track, Indoor "
"5395","Redwine, Stanley ","2018-2019","Jul 2000 -  ","University of Kansas ","Women's Cross Country "
"5396","Redwine, Stanley ","2018-2019","Jul 2000 -  ","University of Kansas ","Men's Cross Country "
"5397","Redwine, Stanley ","2018-2019","Jul 2000 -  ","University of Kansas ","Women's Track, Indoor "
"5398","Redwine, Stanley ","2018-2019","Jul 2000 -  ","University of Kansas ","Men's Track, Outdoor "
"5399","Reeb, Adam ","2018-2019","Sep 2015 - Nov 2018 ","Seattle University ","Men's Tennis "
"5400","Reeb, Adam ","2018-2019","Sep 2015 - Nov 2018 ","Seattle University ","Women's Tennis "
"5401","Reed, Brett ","2018-2019","Sep 2007 -  ","Lehigh University ","Men's Basketball "
"5402","Reed, Frank ","2018-2019","Sep 2001 -  ","University of Tennessee at Chattanooga ","Softball "
"5403","Reed, Roderick ","2018-2019","Feb 2010 -  ","Tennessee State University ","Football "
"5404","Reed, Sherman ","2018-2019","Sep 2010 -  ","Coppin State University ","Baseball "
"5405","Reed, Tomekia ","2018-2019","Aug 2018 -  ","Jackson State University ","Women's Basketball "
"5406","Reehoorn, Jon ","2018-2019","Aug 2010 -  ","Oregon State University ","Men's Golf "
"5407","Rees, Carl ","2018-2019","Apr 1996 -  ","Fairfield University ","Men's Soccer "
"5408","Reese, Cathy ","2018-2019","Sep 2006 -  ","University of Maryland, College Park ","Women's Lacrosse "
"5409","Reese, Eddie ","2018-2019","May 1978 -  ","University of Texas at Austin ","Men's Swimming and Diving "
"5410","Reeve, Jill ","2018-2019","Aug 2011 -  ","Brown University ","Field Hockey "
"5411","Reeves, Adam ","2018-2019","Aug 2019 -  ","University of the Pacific ","Men's Soccer "
"5412","Reeves, Bobby ","2018-2019","Jul 2010 - Jun 2019 ","Abilene Christian University ","Softball "
"5413","Reeves, Brandon ","2018-2019","Aug 2015 - Jun 2020 ","Chicago State University ","Women's Volleyball "
"5414","Reeves, Jon ","2018-2019","Sep 2015 -  ","Montana State University-Bozeman ","Women's Tennis "
"5415","Reeves, Marc ","2018-2019","Apr 2017 -  ","Elon University ","Men's Soccer "
"5416","Refsnyder, Kate ","2018-2019","Sep 2018 -  ","Brown University ","Softball "
"5417","Regan, Michael ","2018-2019","Feb 2018 -  ","North Dakota State University ","Women's Soccer "
"5418","Rehfuss, Abigail ","2018-2019","Nov 2017 -  ","Siena College ","Women's Lacrosse "
"5419","Rehr, David ","2018-2019","Mar 2012 - May 2019 ","Arkansas State University ","Women's Volleyball "
"5420","Rehr, David ","2018-2019","May 2019 -  ","University of Houston ","Women's Volleyball "
"5421","Reichelt, Bill ","2018-2019","Aug 2003 -  ","University of Vermont ","Women's Skiing "
"5422","Reichelt, Bill ","2018-2019","Aug 2003 -  ","University of Vermont ","Men's Skiing "
"5423","Reichenbach, Richard ","2018-2019","Aug 2014 -  ","University of Maine ","Women's Ice Hockey "
"5424","Reid, Ray ","2018-2019","Jan 1997 -  ","University of Connecticut ","Men's Soccer "
"5425","Reif, Dena ","2018-2019","Aug 2012 - Aug 2019 ","University of South Florida ","Women's Cross Country "
"5426","Reif, Dena ","2018-2019","Sep 2012 - Aug 2019 ","University of South Florida ","Men's Cross Country "
"5427","Reighard, Jerry ","2018-2019","Aug 2003 - May 2019 ","Central Michigan University ","Women's Gymnastics "
"5428","Reimer, Kendra ","2018-2019","Nov 2018 -  ","San Jose State University ","Men's Track, Indoor "
"5429","Reimer, Kendra ","2018-2019","Nov 2018 -  ","San Jose State University ","Women's Cross Country "
"5430","Reimer, Kendra ","2018-2019","Nov 2018 -  ","San Jose State University ","Men's Track, Outdoor "
"5431","Reimer, Kendra ","2018-2019","Nov 2018 -  ","San Jose State University ","Women's Track, Outdoor "
"5432","Reimer, Kendra ","2018-2019","Nov 2018 -  ","San Jose State University ","Men's Cross Country "
"5433","Reimer, Kendra ","2018-2019","Nov 2018 -  ","San Jose State University ","Women's Track, Indoor "
"5434","Reina, Roger ","2018-2019","Jun 2017 -  ","University of Pennsylvania ","Men's Wrestling "
"5435","Reiniger, Steve ","2018-2019","Aug 2003 -  ","Villanova University ","Women's Tennis "
"5436","Reinke, Lee ","2018-2019","Mar 2015 -  ","University of Wisconsin-Green Bay ","Men's Golf "
"5437","Reinke, Lee ","2018-2019","Feb 2016 -  ","University of Wisconsin-Green Bay ","Women's Golf "
"5438","Reinstetle, Rob ","2018-2019","Aug 2019 -  ","University of Toledo ","Baseball "
"5439","Reiss, Tammi ","2018-2019","Jun 2019 -  ","University of Rhode Island ","Women's Basketball "
"5440","Reive, J.D. ","2018-2019","Sep 2010 -  ","University of Iowa ","Men's Gymnastics "
"5441","Reno, Anthony ","2018-2019","Jan 2012 -  ","Yale University ","Football "
"5442","Rens, Toby ","2018-2019","Feb 2018 - Oct 2020 ","Georgetown University ","Women's Volleyball "
"5443","Rensing, Damon ","2018-2019","Feb 2009 -  ","Michigan State University ","Men's Soccer "
"5444","Resnick, Neil ","2018-2019","Aug 2007 - Sep 2019 ","Boise State University ","Women's Gymnastics "
"5445","Restaino, Nick ","2018-2019","Jul 2017 -  ","Sacred Heart University ","Baseball "
"5446","Restrepo, Santiago ","2018-2019","May 2019 -  ","Arkansas State University ","Women's Volleyball "
"5447","Revelle, Rhonda ","2018-2019","Aug 1992 -  ","University of Nebraska, Lincoln ","Softball "
"5448","Rey, Chuck ","2018-2019","Feb 2018 -  ","Winthrop University ","Women's Volleyball "
"5449","Reynolds, Bobby ","2018-2019","Jul 2016 -  ","Auburn University ","Men's Tennis "
"5450","Reynolds, Doug ","2018-2019","Sep 2017 -  ","New Mexico State University ","Women's Cross Country "
"5451","Reynolds, Doug ","2018-2019","Sep 2017 -  ","New Mexico State University ","Women's Track, Indoor "
"5452","Reynolds, Doug ","2018-2019","Sep 2017 -  ","New Mexico State University ","Men's Cross Country "
"5453","Reynolds, Doug ","2018-2019","Sep 2017 -  ","New Mexico State University ","Women's Track, Outdoor "
"5454","Reynolds, Matt ","2018-2019","Jul 2017 -  ","University of Massachusetts, Amherst ","Baseball "
"5455","Reynolds, Rick ","2018-2019","Jun 2015 - May 2019 ","Idaho State University ","Women's Volleyball "
"5456","Rhazali, Mehdi ","2018-2019","Nov 2012 - Aug 2020 ","Drexel University ","Women's Tennis "
"5457","Rhazali, Mehdi ","2018-2019","Nov 2012 -  ","Drexel University ","Men's Tennis "
"5458","Rhoades, Kortney ","2018-2019","Aug 2016 -  ","Delaware State University ","Women's Soccer "
"5459","Rhoades, Mike ","2018-2019","Apr 2017 -  ","Virginia Commonwealth University ","Men's Basketball "
"5460","Rhoads, Kevin ","2018-2019","Aug 2004 -  ","Harvard University ","Women's Golf "
"5461","Rhoads, Kevin ","2018-2019","Aug 2012 -  ","Harvard University ","Men's Golf "
"5462","Rhode, Linus ","2018-2019","May 2008 - Feb 2019 ","Oregon State University ","Women's Soccer "
"5463","Rhoden, Aston ","2018-2019","Aug 2003 -  ","Middle Tennessee State University ","Women's Soccer "
"5464","Rhodenbaugh, Gregory ","2018-2019","Jul 2010 - Feb 2019 ","University of Missouri, Columbia ","Women's Swimming and Diving "
"5465","Rhodenbaugh, Gregory ","2018-2019","Jul 2010 - Feb 2019 ","University of Missouri, Columbia ","Men's Swimming and Diving "
"5466","Rhodes, Katie ","2018-2019","Sep 2018 -  ","La Salle University ","Women's Lacrosse "
"5467","Rhodes, Lance ","2018-2019","Jul 2019 -  ","Southern Illinois University at Carbondale ","Baseball "
"5468","Rhule, Matthew (Matt) ","2018-2019","Jan 2017 - Feb 2020 ","Baylor University ","Football "
"5469","Rice, King ","2018-2019","May 2011 -  ","Monmouth University ","Men's Basketball "
"5470","Rice, Leon ","2018-2019","Apr 2010 -  ","Boise State University ","Men's Basketball "
"5471","Rice, Mike ","2018-2019","Apr 2018 -  ","Florida A&M University ","Men's Golf "
"5472","Rice, Paul ","2018-2019","Dec 1997 -  ","Oakland University ","Women's Cross Country "
"5473","Rice, Paul ","2018-2019","Dec 2007 -  ","Oakland University ","Men's Track, Indoor "
"5474","Rice, Paul ","2018-2019","Dec 1997 -  ","Oakland University ","Men's Cross Country "
"5475","Rice, Paul ","2018-2019","Aug 2005 -  ","Oakland University ","Women's Track, Outdoor "
"5476","Rice, Paul ","2018-2019","Aug 2007 -  ","Oakland University ","Women's Track, Indoor "
"5477","Rice, Paul ","2018-2019","Oct 2005 -  ","Oakland University ","Men's Track, Outdoor "
"5478","Rich, Chris ","2018-2019","Aug 2019 -  ","The University of North Carolina at Greensboro ","Men's Soccer "
"5479","Richard, Keith ","2018-2019","May 2010 -  ","University of Louisiana Monroe ","Men's Basketball "
"5480","Richards , Joseph ","2018-2019","Sep 2018 -  ","George Mason University ","Women's Rowing "
